name,price,img,km,year,type
جولف 2001 للبيع,5800,https://opensooq-images.os-cdn.com/previews/220x0/8018/335f/8018335f59af77104bbb00a04ff4d9744cb43c70bfd39be9584093cac1f27f07.jpg.jpg,"١٩٠,٠٠٠ - ١٩٩,٩٩٩",2001,فولكسفاغن
فورد فيوجن se انيرجي 2013 السعر في مجال,13250,https://opensooq-images.os-cdn.com/previews/220x0/67/0a/670a1cdc56a844fbf78b10861d8a23ebc88a0e98d2c481f745787b5cd2404e66.jpg.jpg,"١١٠,٠٠٠ - ١١٩,٩٩٩",2013,فورد
تويوتا بريوس 2015 لون كحلي ماشيه 38 الف اصلي بحالة الوكاله,11750,https://opensooq-images.os-cdn.com/previews/220x0/ea96/cd99/ea96cd99222598a82a4c4e42941a121766b7db445a10cedf02eec968dbacd91e.jpg.jpg,"٣٠,٠٠٠ - ٣٩,٩٩٩",2015,تويوتا
مرسيدس E200 غرغوريه اعلى صنف,37750,https://opensooq-images.os-cdn.com/previews/220x0/6e/cd/6ecd5372cf803d64c15d6011afa136b5b9d329a08bbc92dacbd4069937c08d49.jpg.jpg,"٧٠,٠٠٠ - ٧٩,٩٩٩",2016,مرسيدس بنز
رينو ميغان2 فل اوتوماتيك بانوراما  2006,5500,https://opensooq-images.os-cdn.com/previews/220x0/970e/1dee/970e1dee70a191a83ec92c46bb9c4a73049189626b8eab1c11a2feecbd09df1b.jpg.jpg,"١٣٠,٠٠٠ - ١٣٩,٩٩٩",2006,رينو
كيا نيرو 2018 فحص كامل بحالة الوكالة,16500,https://opensooq-images.os-cdn.com/previews/220x0/82/6d/826d5bb65578bfc80b4ef28346ffe9ec71d0fbb5ab2f8bc2d4c19030a036d64a.jpg.jpg,"٨٠,٠٠٠ - ٨٩,٩٩٩",2018,كيا
